Base Package,dependsBy1,dependsBy2,dependsBy3,dependsBy4,dependsBy5,dependsBy6,dependsBy7,dependsBy8,dependsBy9,dependsBy10,dependsBy11,dependsBy12,dependsBy13,dependsBy14,dependsBy15,dependsBy16,dependsBy17,dependsBy18,dependsBy19,dependsBy20,dependsBy21,dependsBy22,dependsBy23,dependsBy24,dependsBy25,dependsBy26,dependsBy27,dependsBy28,dependsBy29,dependsBy30,dependsBy31,dependsBy32,dependsBy33,dependsBy34,dependsBy35,dependsBy36,dependsBy37,dependsBy38,dependsBy39,dependsBy40,dependsBy41,dependsBy42,dependsBy43,dependsBy44,dependsBy45,dependsBy46,dependsBy47,dependsBy48,dependsBy49,dependsBy50,dependsBy51,dependsBy52,dependsBy53,dependsBy54,dependsBy55,dependsBy56,dependsBy57,dependsBy58,dependsBy59,dependsBy60,dependsBy61,dependsBy62,dependsBy63,dependsBy64,dependsBy65,dependsBy66,dependsBy67,dependsBy68,dependsBy69,dependsBy70,dependsBy71,dependsBy72,dependsBy73,dependsBy74,dependsBy75,dependsBy76,dependsBy77,dependsBy78,dependsBy79,dependsBy80,dependsBy81,dependsBy82,dependsBy83,dependsBy84,dependsBy85,dependsBy86,dependsBy87,dependsBy88,dependsBy89,dependsBy90,dependsBy91,dependsBy92
adlfs,aiohappyeyeballs,aiohttp,aiosignal,async-timeout,attrs,azure-core,azure-datalake-store,azure-identity,azure-storage-blob,certifi,cffi,charset-normalizer,cryptography,frozenlist,fsspec,idna,isodate,msal,msal-extensions,multidict,portalocker,propcache,pycparser,pyjwt,requests,six,typing-extensions,urllib3,yarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allennlp,base58,cached-path,certifi,charset-normalizer,click,dill,fairscale,filelock,fsspec,h5py,huggingface-hub,idna,joblib,jsonnet,lmdb,more-itertools,nltk,numpy,packaging,protobuf,pytest,pyyaml,regex,requests,sacremoses,scikit-learn,scipy,sentencepiece,spacy,tensorboardx,termcolor,torch,torchvision,tqdm,traitlets,transformers,typer,typing-extensions,urllib3,wandb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annotated-types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appnope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifacts-keyring,backports-tarfile,certifi,charset-normalizer,idna,importlib-metadata,jaraco-classes,jaraco-context,jaraco-functools,jeepney,keyring,more-itertools,requests,secretstorage,urllib3,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astroid,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asttokens,six,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astunparse,six,wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asyncio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure-keyvault-secrets,azure-core,certifi,charset-normalizer,idna,isodate,requests,six,typing-extensions,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azureml-featurestore,attrs,azure-ai-ml,azure-common,azure-core,azure-identity,azure-mgmt-core,azure-storage-blob,azure-storage-file-datalake,azure-storage-file-share,azureml-dataprep,azureml-dataprep-native,azureml-dataprep-rslex,cachetools,certifi,cffi,charset-normalizer,cloudpickle,colorama,cryptography,google-api-core,google-auth,googleapis-common-protos,idna,isodate,jinja2,jsonschema,jsonschema-specifications,markupsafe,marshmallow,mltable,msal,msal-extensions,msrest,numpy,opencensus,opencensus-context,opencensus-ext-azure,opencensus-ext-logging,packaging,pandas,portalocker,proto-plus,protobuf,psutil,pyasn1-modules,pycparser,pydash,pyjwt,python-dateutil,pytz,pyyaml,referencing,requests,requests-oauthlib,rpds-py,rsa,six,strictyaml,tqdm,typing-extensions,tzdata,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azureml-fsspec,attrs,azure-core,azure-identity,azureml-dataprep,azureml-dataprep-native,azureml-dataprep-rslex,certifi,cffi,charset-normalizer,cloudpickle,cryptography,fsspec,idna,jsonschema,jsonschema-specifications,msal,msal-extensions,portalocker,pycparser,pyjwt,pytz,pyyaml,referencing,requests,rpds-py,six,typing-extensions,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azureml-interpret,adal,argcomplete,azure-common,azure-core,azure-graphrbac,azure-mgmt-authorization,azure-mgmt-containerregistry,azure-mgmt-core,azure-mgmt-keyvault,azure-mgmt-network,azure-mgmt-resource,azure-mgmt-storage,azureml-core,backports-tempfile,backports-weakref,bcrypt,certifi,cffi,charset-normalizer,contextlib2,cryptography,docker,humanfriendly,idna,interpret-community,interpret-core,isodate,jmespath,joblib,jsonpickle,knack,llvmlite,ml-wrappers,msal,msal-extensions,msrest,msrestazure,ndg-httpsclient,numba,numpy,packaging,pandas,paramiko,pathspec,pkginfo,portalocker,pyasn1,pycparser,pygments,pyjwt,pynacl,pyopenssl,python-dateutil,pytz,pyyaml,raiutils,requests,requests-oauthlib,scikit-learn,scipy,secretstorage,shap,six,tabulate,typing-extensions,tzdata,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,
backoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backports.tempfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backports.weakref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandit,pyyaml,rich,stevedore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beanie,click,lazy-model,motor,pydantic,pymongo,toml,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-score,certifi,charset-normalizer,contourpy,cycler,fonttools,idna,kiwisolver,matplotlib,numpy,packaging,pandas,pillow,pyparsing,python-dateutil,pytz,requests,six,torch,tqdm,transformers,tzdata,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black,click,mypy-extensions,packaging,pathspec,platformdirs,tomli,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blis,numpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bs4,beautifulsoup4,soupsieve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cachecontrol,certifi,charset-normalizer,idna,msgpack,requests,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
