Base Package,dependsBy1,dependsBy2,dependsBy3,dependsBy4,dependsBy5,dependsBy6,dependsBy7,dependsBy8,dependsBy9,dependsBy10,dependsBy11,dependsBy12,dependsBy13,dependsBy14,dependsBy15,dependsBy16,dependsBy17,dependsBy18,dependsBy19,dependsBy20,dependsBy21,dependsBy22,dependsBy23,dependsBy24,dependsBy25,dependsBy26,dependsBy27,dependsBy28,dependsBy29,dependsBy30,dependsBy31,dependsBy32,dependsBy33,dependsBy34,dependsBy35,dependsBy36,dependsBy37,dependsBy38,dependsBy39,dependsBy40,dependsBy41,dependsBy42,dependsBy43,dependsBy44,dependsBy45,dependsBy46,dependsBy47,dependsBy48,dependsBy49,dependsBy50,dependsBy51,dependsBy52,dependsBy53,dependsBy54,dependsBy55,dependsBy56,dependsBy57,dependsBy58,dependsBy59,dependsBy60,dependsBy61,dependsBy62,dependsBy63,dependsBy64,dependsBy65,dependsBy66,dependsBy67,dependsBy68,dependsBy69,dependsBy70,dependsBy71,dependsBy72,dependsBy73,dependsBy74,dependsBy75,dependsBy76,dependsBy77,dependsBy78,dependsBy79,dependsBy80,dependsBy81,dependsBy82,dependsBy83,dependsBy84,dependsBy85,dependsBy86,dependsBy87,dependsBy88,dependsBy89,dependsBy90,dependsBy91,dependsBy92,dependsBy93,dependsBy94,dependsBy95,dependsBy96,dependsBy97,dependsBy98,dependsBy99
adlfs,aiohappyeyeballs,aiohttp,aiosignal,attrs,azure-core,azure-datalake-store,azure-identity,azure-storage-blob,certifi,cffi,charset-normalizer,cryptography,frozenlist,fsspec,idna,isodate,msal,msal-extensions,multidict,propcache,pycparser,pyjwt,requests,six,typing-extensions,urllib3,yarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allennlp,annotated-types,base58,blis,cached-path,catalogue,certifi,charset-normalizer,click,cloudpathlib,confection,cymem,dill,fairscale,filelock,fsspec,h5py,hf-xet,huggingface-hub,idna,iniconfig,jinja2,joblib,jsonnet,langcodes,language-data,lmdb,marisa-trie,markdown-it-py,markupsafe,mdurl,more-itertools,mpmath,murmurhash,networkx,nltk,numpy,packaging,pillow,pluggy,preshed,protobuf,pydantic,pydantic-core,pygments,pytest,pyyaml,regex,requests,rich,sacremoses,safetensors,scikit-learn,scipy,sentencepiece,setuptools,shellingham,smart-open,spacy,spacy-legacy,spacy-loggers,srsly,sympy,tensorboardx,termcolor,thinc,threadpoolctl,tokenizers,torch,torchvision,tqdm,traitlets,transformers,typer,typing-extensions,typing-inspection,urllib3,wandb,wasabi,weasel,wrapt,,,,,,,,,,,,,,,,,,,
aniso8601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appnope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifacts-keyring,certifi,cffi,charset-normalizer,cryptography,idna,jaraco-classes,jaraco-context,jaraco-functools,jeepney,keyring,more-itertools,pycparser,requests,secretstorage,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asyncio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
async-timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure-keyvault-secrets,azure-core,certifi,charset-normalizer,idna,isodate,requests,six,typing-extensions,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azureml-featurestore,attrs,azure-ai-ml,azure-common,azure-core,azure-identity,azure-mgmt-core,azure-monitor-opentelemetry,azure-storage-blob,azure-storage-file-datalake,azure-storage-file-share,azureml-dataprep,azureml-dataprep-native,azureml-dataprep-rslex,certifi,cffi,charset-normalizer,cloudpickle,colorama,cryptography,idna,isodate,jinja2,jsonschema,jsonschema-specifications,markupsafe,marshmallow,mltable,msal,msal-extensions,msrest,numpy,oauthlib,pandas,pycparser,pydash,pyjwt,python-dateutil,pytz,pyyaml,referencing,requests,requests-oauthlib,rpds-py,six,strictyaml,tqdm,typing-extensions,tzdata,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azureml-fsspec,attrs,azure-core,azure-identity,azureml-dataprep,azureml-dataprep-native,azureml-dataprep-rslex,certifi,cffi,charset-normalizer,cloudpickle,cryptography,fsspec,idna,jsonschema,jsonschema-specifications,msal,msal-extensions,pycparser,pyjwt,pytz,pyyaml,referencing,requests,rpds-py,six,typing-extensions,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azureml-interpret,adal,argcomplete,azure-common,azure-core,azure-graphrbac,azure-mgmt-authorization,azure-mgmt-containerregistry,azure-mgmt-core,azure-mgmt-keyvault,azure-mgmt-network,azure-mgmt-resource,azure-mgmt-storage,azureml-core,backports-tempfile,backports-weakref,bcrypt,certifi,cffi,charset-normalizer,cloudpickle,contextlib2,cryptography,docker,humanfriendly,idna,interpret-community,interpret-core,isodate,jeepney,jmespath,joblib,jsonpickle,knack,llvmlite,ml-wrappers,msal,msal-extensions,msrest,msrestazure,ndg-httpsclient,numba,numpy,oauthlib,packaging,pandas,paramiko,pathspec,pkginfo,pyasn1,pycparser,pygments,pyjwt,pynacl,pyopenssl,python-dateutil,pytz,pyyaml,raiutils,requests,requests-oauthlib,scikit-learn,scipy,secretstorage,shap,six,slicer,tabulate,threadpoolctl,tqdm,typing-extensions,tzdata,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,
backports.tempfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backports.weakref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandit,markdown-it-py,mdurl,pbr,pygments,pyyaml,rich,setuptools,stevedore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beanie,annotated-types,click,dnspython,lazy-model,motor,pydantic,pydantic-core,pymongo,toml,typing-extensions,typing-inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-score,certifi,charset-normalizer,contourpy,cycler,filelock,fonttools,fsspec,hf-xet,huggingface-hub,idna,jinja2,kiwisolver,markupsafe,matplotlib,mpmath,networkx,numpy,packaging,pandas,pillow,pyparsing,python-dateutil,pytz,pyyaml,regex,requests,safetensors,setuptools,six,sympy,tokenizers,torch,tqdm,transformers,typing-extensions,tzdata,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black,click,mypy-extensions,packaging,pathspec,platformdirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
